Date,Product,Category,Region,Channel,Units,Price,Revenue,Returns,Rating
2025-12-11,Wireless Charger,Electronics,Chiang Mai,Marketplace,32,890,28480,2,3.2
2025-06-24,Wireless Charger,Electronics,Bangkok,Marketplace,30,199,5970,0,4.1
2025-10-26,Keyboard Cover,Accessories,Bangkok,In-Store,3,99,297,0,4.5
2025-03-07,Power Bank,Electronics,Pattaya,Marketplace,25,349,8725,0,4.8
2025-12-26,Bluetooth Earbuds,Electronics,Phuket,Marketplace,23,1290,29670,1,3.8
2025-08-07,Mouse Pad,Accessories,Khon Kaen,In-Store,24,599,14376,2,4.9
2025-12-25,Power Bank,Electronics,Khon Kaen,Online,49,299,14651,1,3.5
2025-06-07,Wireless Charger,Electronics,Bangkok,Marketplace,7,199,1393,0,3.2
2025-12-01,Mouse Pad,Accessories,Bangkok,Online,32,99,3168,3,4.0
2025-04-27,Laptop Bag,Bags,Pattaya,In-Store,20,890,17800,0,4.3
2025-12-16,iPhone Case,Accessories,Phuket,Online,3,599,1797,1,5.0
2025-12-11,Laptop Bag,Bags,Phuket,In-Store,43,890,38270,3,3.6
2025-06-27,Mouse Pad,Accessories,Khon Kaen,Online,11,149,1639,1,4.9
2025-12-10,Bluetooth Earbuds,Electronics,Pattaya,In-Store,35,1590,55650,0,4.2
2025-05-30,Laptop Bag,Bags,Pattaya,Marketplace,20,1590,31800,2,3.3
2025-11-10,iPhone Case,Accessories,Phuket,Marketplace,42,299,12558,2,4.5
2025-08-12,Laptop Bag,Bags,Chiang Mai,Marketplace,1,199,199,1,3.6
2025-02-23,iPhone Case,Accessories,Phuket,Marketplace,47,1590,74730,0,3.9
2025-06-20,Power Bank,Electronics,Bangkok,In-Store,10,599,5990,1,4.1
2025-12-13,Phone Stand,Accessories,Khon Kaen,Marketplace,2,890,1780,1,4.6
2025-10-23,Phone Stand,Accessories,Bangkok,Marketplace,22,599,13178,1,4.1
2025-04-30,iPhone Case,Accessories,Bangkok,Online,46,1590,73140,0,4.2
2025-05-30,Power Bank,Electronics,Phuket,Online,30,299,8970,0,3.8
2025-07-01,Screen Protector,Accessories,Phuket,In-Store,8,349,2792,1,4.4
2025-05-22,Bluetooth Earbuds,Electronics,Khon Kaen,Marketplace,30,299,8970,0,3.1
2025-03-18,Laptop Bag,Bags,Pattaya,Marketplace,23,149,3427,1,5.0
2025-09-15,Wireless Charger,Electronics,Bangkok,Online,15,99,1485,0,4.2
2025-10-18,Screen Protector,Accessories,Phuket,Online,2,1590,3180,1,3.4
2025-07-01,Wireless Charger,Electronics,Phuket,Online,18,890,16020,1,4.4
2025-02-21,Wireless Charger,Electronics,Phuket,In-Store,12,1290,15480,0,3.2
2025-12-11,Mouse Pad,Accessories,Khon Kaen,In-Store,22,99,2178,2,3.7
2025-06-06,Keyboard Cover,Accessories,Chiang Mai,Online,3,299,897,0,4.8
2025-10-27,Bluetooth Earbuds,Electronics,Chiang Mai,In-Store,39,599,23361,3,3.9
2025-08-23,Phone Stand,Accessories,Khon Kaen,Marketplace,10,1590,15900,0,4.9
2025-12-16,USB-C Cable,Accessories,Phuket,In-Store,43,1590,68370,3,3.4
2025-09-29,USB-C Cable,Accessories,Khon Kaen,In-Store,22,599,13178,0,3.2
2025-04-29,Mouse Pad,Accessories,Khon Kaen,In-Store,2,299,598,1,4.1
2025-05-29,Wireless Charger,Electronics,Khon Kaen,In-Store,23,1590,36570,0,4.0
2025-05-01,Phone Stand,Accessories,Phuket,Marketplace,34,1290,43860,0,3.5
2025-11-18,iPhone Case,Accessories,Bangkok,Online,8,1290,10320,1,3.7
2025-01-29,iPhone Case,Accessories,Bangkok,In-Store,47,149,7003,0,4.7
2025-11-30,Wireless Charger,Electronics,Phuket,Online,25,199,4975,1,3.5
2025-02-28,Bluetooth Earbuds,Electronics,Chiang Mai,Online,38,349,13262,2,4.4
2025-04-25,Power Bank,Electronics,Chiang Mai,Online,41,1290,52890,1,3.6
2025-04-30,Power Bank,Electronics,Pattaya,Marketplace,28,1590,44520,1,3.5
2025-07-27,Laptop Bag,Bags,Bangkok,In-Store,44,890,39160,0,3.7
2025-01-27,Laptop Bag,Bags,Chiang Mai,Online,2,1290,2580,0,3.5
2025-09-13,Bluetooth Earbuds,Electronics,Pattaya,In-Store,23,1590,36570,1,3.9
2025-02-11,iPhone Case,Accessories,Chiang Mai,Online,17,599,10183,0,3.1
2025-10-10,Power Bank,Electronics,Bangkok,Online,32,299,9568,2,4.3
2025-12-12,Power Bank,Electronics,Chiang Mai,Online,35,349,12215,3,4.7
2025-12-18,Keyboard Cover,Accessories,Phuket,Marketplace,22,99,2178,0,4.8
2025-06-07,Phone Stand,Accessories,Pattaya,In-Store,25,1590,39750,2,4.9
2025-10-13,Phone Stand,Accessories,Khon Kaen,In-Store,31,299,9269,0,3.2
2025-09-10,Phone Stand,Accessories,Bangkok,Marketplace,20,299,5980,0,4.9
2025-12-18,USB-C Cable,Accessories,Khon Kaen,Marketplace,48,349,16752,1,4.3
2025-01-24,Wireless Charger,Electronics,Bangkok,In-Store,40,349,13960,1,3.4
2025-07-12,Screen Protector,Accessories,Pattaya,In-Store,33,1590,52470,2,4.2
2025-06-28,Screen Protector,Accessories,Chiang Mai,Marketplace,36,199,7164,3,3.5
2025-07-10,iPhone Case,Accessories,Chiang Mai,Online,16,599,9584,1,4.1
2025-10-14,Power Bank,Electronics,Khon Kaen,Online,27,599,16173,0,4.9
2025-11-01,Keyboard Cover,Accessories,Chiang Mai,In-Store,3,299,897,1,4.2
2025-05-31,Phone Stand,Accessories,Pattaya,Marketplace,13,349,4537,0,3.3
2025-08-28,Bluetooth Earbuds,Electronics,Phuket,In-Store,21,890,18690,0,3.6
2025-06-12,Mouse Pad,Accessories,Bangkok,Online,17,599,10183,1,4.0
2025-12-02,Power Bank,Electronics,Khon Kaen,In-Store,8,599,4792,1,4.1
2025-07-18,USB-C Cable,Accessories,Pattaya,Marketplace,1,99,99,1,4.4
2025-11-23,Mouse Pad,Accessories,Bangkok,Marketplace,30,99,2970,3,3.5
2025-12-21,Laptop Bag,Bags,Khon Kaen,Marketplace,26,199,5174,2,4.2
2025-11-14,Phone Stand,Accessories,Chiang Mai,In-Store,43,149,6407,0,4.2
2025-05-09,Screen Protector,Accessories,Khon Kaen,Marketplace,41,890,36490,3,3.1
2025-12-18,USB-C Cable,Accessories,Phuket,Marketplace,9,349,3141,1,3.5
2025-01-07,Screen Protector,Accessories,Khon Kaen,Marketplace,33,99,3267,1,3.7
2025-07-10,Mouse Pad,Accessories,Khon Kaen,Online,32,890,28480,0,4.1
2025-03-26,Screen Protector,Accessories,Bangkok,Marketplace,37,199,7363,2,4.0
2025-05-31,Wireless Charger,Electronics,Chiang Mai,Marketplace,43,199,8557,2,4.6
2025-02-14,USB-C Cable,Accessories,Phuket,In-Store,48,199,9552,4,3.0
2025-03-01,Laptop Bag,Bags,Phuket,Marketplace,36,99,3564,2,4.4
2025-12-02,Bluetooth Earbuds,Electronics,Khon Kaen,In-Store,33,99,3267,3,3.2
2025-03-06,Mouse Pad,Accessories,Phuket,In-Store,12,149,1788,0,3.5
2025-05-28,Mouse Pad,Accessories,Phuket,Marketplace,21,890,18690,0,3.3
2025-07-14,Screen Protector,Accessories,Pattaya,In-Store,49,599,29351,4,3.5
2025-03-16,Mouse Pad,Accessories,Chiang Mai,In-Store,8,99,792,0,3.2
2025-03-22,Phone Stand,Accessories,Pattaya,Marketplace,22,1290,28380,2,4.0
2025-07-20,Wireless Charger,Electronics,Bangkok,Online,7,1290,9030,1,4.6
2025-09-23,Wireless Charger,Electronics,Bangkok,Marketplace,34,1590,54060,3,4.8
2025-04-08,iPhone Case,Accessories,Chiang Mai,Online,26,890,23140,0,3.5
2025-12-31,Phone Stand,Accessories,Bangkok,Online,4,890,3560,0,4.7
2025-08-30,Laptop Bag,Bags,Chiang Mai,In-Store,36,890,32040,2,3.2
2025-08-16,Bluetooth Earbuds,Electronics,Phuket,In-Store,22,99,2178,1,3.9
2025-04-27,Wireless Charger,Electronics,Bangkok,Online,35,890,31150,0,3.2
2025-07-27,Power Bank,Electronics,Bangkok,In-Store,42,349,14658,1,4.7
2025-06-15,Power Bank,Electronics,Phuket,In-Store,47,149,7003,3,4.9
2025-08-30,Bluetooth Earbuds,Electronics,Chiang Mai,In-Store,20,299,5980,1,3.6
2025-02-10,Wireless Charger,Electronics,Bangkok,Marketplace,14,599,8386,0,3.5
2025-07-24,Power Bank,Electronics,Pattaya,In-Store,29,599,17371,2,4.5
2025-03-24,Screen Protector,Accessories,Chiang Mai,Online,48,199,9552,4,3.5
2025-05-20,Wireless Charger,Electronics,Bangkok,Marketplace,28,199,5572,1,3.9
2025-02-14,Phone Stand,Accessories,Khon Kaen,Marketplace,44,149,6556,1,4.8
2025-10-25,Laptop Bag,Bags,Phuket,In-Store,30,199,5970,1,4.8
2025-11-15,Bluetooth Earbuds,Electronics,Chiang Mai,Marketplace,50,1590,79500,1,3.6
2025-10-09,Bluetooth Earbuds,Electronics,Chiang Mai,In-Store,11,1290,14190,0,4.3
2025-05-05,Keyboard Cover,Accessories,Phuket,In-Store,47,1590,74730,2,3.8
2025-04-22,Wireless Charger,Electronics,Pattaya,Marketplace,13,149,1937,1,4.9
2025-11-12,Keyboard Cover,Accessories,Chiang Mai,Online,39,99,3861,3,3.4
2025-05-20,Wireless Charger,Electronics,Chiang Mai,Marketplace,10,99,990,1,3.7
2025-06-16,Phone Stand,Accessories,Bangkok,Online,4,99,396,0,3.8
2025-05-26,Wireless Charger,Electronics,Khon Kaen,Online,20,349,6980,1,4.1
2025-06-29,Phone Stand,Accessories,Bangkok,In-Store,4,890,3560,0,3.8
2025-03-10,Power Bank,Electronics,Pattaya,In-Store,50,199,9950,1,3.7
2025-01-12,Power Bank,Electronics,Khon Kaen,Marketplace,14,1590,22260,1,3.7
2025-04-25,Keyboard Cover,Accessories,Khon Kaen,In-Store,16,890,14240,1,3.1
2025-04-14,Phone Stand,Accessories,Chiang Mai,Marketplace,39,299,11661,3,4.3
2025-07-16,Phone Stand,Accessories,Pattaya,Marketplace,27,1290,34830,1,3.6
2025-06-11,USB-C Cable,Accessories,Bangkok,In-Store,15,99,1485,0,3.9
2025-09-10,iPhone Case,Accessories,Khon Kaen,In-Store,29,299,8671,1,4.6
2025-03-23,Wireless Charger,Electronics,Khon Kaen,Online,29,199,5771,0,4.3
2025-05-31,Bluetooth Earbuds,Electronics,Chiang Mai,In-Store,46,149,6854,1,4.9
2025-11-11,Wireless Charger,Electronics,Phuket,Online,36,1590,57240,0,3.1
2025-02-14,Bluetooth Earbuds,Electronics,Phuket,Marketplace,36,349,12564,1,3.7
2025-11-13,Bluetooth Earbuds,Electronics,Pattaya,Online,48,199,9552,0,3.8
2025-07-22,Wireless Charger,Electronics,Pattaya,In-Store,33,299,9867,0,4.8
2025-08-20,Keyboard Cover,Accessories,Khon Kaen,In-Store,26,1590,41340,1,3.5
2025-11-11,Bluetooth Earbuds,Electronics,Phuket,Online,11,199,2189,1,4.3
2025-06-12,Bluetooth Earbuds,Electronics,Phuket,Online,3,1290,3870,1,3.6
2025-12-20,Power Bank,Electronics,Chiang Mai,Online,9,1290,11610,1,4.4
2025-04-07,Bluetooth Earbuds,Electronics,Khon Kaen,Marketplace,48,1290,61920,4,4.9
2025-11-26,Bluetooth Earbuds,Electronics,Chiang Mai,Marketplace,42,890,37380,1,4.6
2025-06-07,Laptop Bag,Bags,Pattaya,In-Store,26,1590,41340,2,4.3
2025-09-20,USB-C Cable,Accessories,Pattaya,Online,25,149,3725,1,3.6
2025-09-26,Laptop Bag,Bags,Phuket,In-Store,35,1590,55650,3,3.8
2025-12-11,Mouse Pad,Accessories,Bangkok,Marketplace,3,299,897,1,3.6
2025-09-12,iPhone Case,Accessories,Chiang Mai,In-Store,5,349,1745,1,4.8
2025-10-09,USB-C Cable,Accessories,Pattaya,In-Store,5,599,2995,1,3.5
2025-10-08,Wireless Charger,Electronics,Khon Kaen,Online,24,349,8376,2,4.1
2025-05-13,Screen Protector,Accessories,Bangkok,In-Store,17,99,1683,0,3.3
2025-11-16,Power Bank,Electronics,Bangkok,Marketplace,35,99,3465,1,3.9
2025-11-20,Bluetooth Earbuds,Electronics,Pattaya,In-Store,11,890,9790,1,4.6
2025-07-22,Wireless Charger,Electronics,Pattaya,Marketplace,37,149,5513,0,3.8
2025-05-30,iPhone Case,Accessories,Bangkok,Online,28,599,16772,2,4.3
2025-09-25,iPhone Case,Accessories,Pattaya,Online,26,1590,41340,0,4.3
2025-01-31,Power Bank,Electronics,Chiang Mai,Online,6,99,594,0,3.8
2025-05-14,Mouse Pad,Accessories,Bangkok,In-Store,48,149,7152,4,4.4
2025-09-06,Keyboard Cover,Accessories,Chiang Mai,Online,31,299,9269,1,4.4
2025-09-07,Keyboard Cover,Accessories,Bangkok,In-Store,1,299,299,0,3.4
2025-09-14,iPhone Case,Accessories,Khon Kaen,In-Store,44,599,26356,3,3.3
2025-03-01,USB-C Cable,Accessories,Phuket,Online,42,599,25158,3,3.7
2025-02-27,Power Bank,Electronics,Phuket,Marketplace,35,1290,45150,1,4.3
2025-12-19,Phone Stand,Accessories,Phuket,In-Store,6,199,1194,1,4.7
2025-08-04,Power Bank,Electronics,Pattaya,Marketplace,32,149,4768,2,3.4
2025-08-22,Screen Protector,Accessories,Chiang Mai,Online,2,890,1780,1,3.5
2025-09-18,Mouse Pad,Accessories,Chiang Mai,Online,1,599,599,1,5.0
2025-05-16,Power Bank,Electronics,Phuket,Marketplace,23,149,3427,0,4.0
2025-05-18,Power Bank,Electronics,Bangkok,Online,8,349,2792,0,4.6
2025-02-28,Bluetooth Earbuds,Electronics,Bangkok,Online,49,1290,63210,1,4.1
2025-01-10,Power Bank,Electronics,Chiang Mai,Marketplace,3,1590,4770,1,4.3
2025-04-05,Wireless Charger,Electronics,Phuket,In-Store,1,199,199,1,3.6
2025-01-14,Laptop Bag,Bags,Chiang Mai,Marketplace,48,349,16752,2,3.8
2025-05-27,Screen Protector,Accessories,Pattaya,In-Store,13,149,1937,1,4.4
2025-07-25,Wireless Charger,Electronics,Bangkok,Online,3,890,2670,0,3.9
2025-03-04,Mouse Pad,Accessories,Pattaya,Online,22,890,19580,2,4.3
2025-08-21,Power Bank,Electronics,Phuket,In-Store,48,890,42720,2,4.8
2025-07-07,USB-C Cable,Accessories,Bangkok,In-Store,20,890,17800,1,4.7
2025-06-25,USB-C Cable,Accessories,Khon Kaen,Marketplace,43,1290,55470,3,3.4
2025-02-27,Bluetooth Earbuds,Electronics,Chiang Mai,In-Store,27,349,9423,1,3.9
2025-01-06,Keyboard Cover,Accessories,Pattaya,Online,34,599,20366,3,3.2
2025-04-08,iPhone Case,Accessories,Khon Kaen,In-Store,26,1290,33540,2,3.3
2025-01-23,Phone Stand,Accessories,Chiang Mai,In-Store,17,599,10183,0,4.1
2025-10-31,iPhone Case,Accessories,Pattaya,In-Store,7,149,1043,0,4.0
2025-11-30,Bluetooth Earbuds,Electronics,Bangkok,In-Store,27,1590,42930,2,3.8
2025-03-30,Laptop Bag,Bags,Bangkok,In-Store,41,199,8159,3,4.7
2025-11-26,Screen Protector,Accessories,Pattaya,Online,21,890,18690,2,3.9
2025-01-22,Power Bank,Electronics,Pattaya,Marketplace,37,349,12913,1,3.8
2025-02-02,Laptop Bag,Bags,Phuket,Online,42,199,8358,0,3.2
2025-10-28,Laptop Bag,Bags,Bangkok,Online,4,1590,6360,1,3.5
2025-04-10,iPhone Case,Accessories,Bangkok,Marketplace,8,149,1192,0,3.1
2025-10-27,Laptop Bag,Bags,Pattaya,Online,1,199,199,1,4.1
2025-07-01,Screen Protector,Accessories,Phuket,Online,7,149,1043,0,3.4
2025-04-27,Power Bank,Electronics,Chiang Mai,In-Store,8,99,792,0,3.6
2025-04-11,Mouse Pad,Accessories,Khon Kaen,Online,8,299,2392,1,5.0
2025-12-01,Screen Protector,Accessories,Pattaya,Online,5,99,495,1,4.5
2025-02-07,Power Bank,Electronics,Bangkok,Online,12,99,1188,1,3.6
2025-09-01,Bluetooth Earbuds,Electronics,Bangkok,In-Store,23,1290,29670,2,4.6
2025-04-28,iPhone Case,Accessories,Khon Kaen,In-Store,14,199,2786,0,3.8
2025-01-28,Bluetooth Earbuds,Electronics,Phuket,Marketplace,29,199,5771,1,4.7
2025-12-07,Mouse Pad,Accessories,Pattaya,Marketplace,3,99,297,0,3.7
2025-11-23,USB-C Cable,Accessories,Bangkok,Online,44,1590,69960,1,3.3
2025-07-23,Power Bank,Electronics,Bangkok,In-Store,17,99,1683,0,3.4
2025-08-14,Phone Stand,Accessories,Phuket,Online,33,349,11517,2,3.4
2025-01-02,Power Bank,Electronics,Pattaya,Marketplace,2,1290,2580,1,4.0
2025-05-13,Screen Protector,Accessories,Chiang Mai,Marketplace,32,1590,50880,0,3.7
2025-05-05,Laptop Bag,Bags,Pattaya,Online,47,599,28153,2,4.8
2025-06-28,Bluetooth Earbuds,Electronics,Khon Kaen,Online,7,349,2443,0,4.7
2025-09-09,Mouse Pad,Accessories,Chiang Mai,In-Store,5,199,995,0,4.8
2025-05-26,Laptop Bag,Bags,Khon Kaen,Marketplace,23,599,13777,1,4.9
2025-04-04,Phone Stand,Accessories,Bangkok,In-Store,25,149,3725,2,3.7
2025-05-02,Mouse Pad,Accessories,Phuket,Online,5,299,1495,0,3.5
2025-02-27,Bluetooth Earbuds,Electronics,Pattaya,Online,49,1590,77910,1,4.3
2025-08-12,Wireless Charger,Electronics,Phuket,Marketplace,13,349,4537,1,4.4
2025-04-10,USB-C Cable,Accessories,Bangkok,Online,40,890,35600,4,3.6
2025-03-25,iPhone Case,Accessories,Khon Kaen,In-Store,17,299,5083,0,3.0
2025-06-14,iPhone Case,Accessories,Khon Kaen,In-Store,49,99,4851,4,4.7
2025-05-05,Phone Stand,Accessories,Phuket,Marketplace,46,1290,59340,4,4.1
2025-03-16,iPhone Case,Accessories,Pattaya,Marketplace,42,199,8358,2,4.0
2025-01-31,USB-C Cable,Accessories,Pattaya,Marketplace,10,890,8900,1,4.0
2025-05-29,USB-C Cable,Accessories,Pattaya,Online,36,1290,46440,1,4.1
2025-02-19,Screen Protector,Accessories,Pattaya,In-Store,46,599,27554,0,3.1
2025-03-07,Phone Stand,Accessories,Pattaya,Marketplace,23,1290,29670,1,4.4
2025-05-04,iPhone Case,Accessories,Khon Kaen,In-Store,25,349,8725,0,4.1
2025-04-17,Wireless Charger,Electronics,Pattaya,Marketplace,16,1290,20640,1,5.0
2025-09-09,Keyboard Cover,Accessories,Phuket,In-Store,46,890,40940,4,3.9
2025-02-26,Bluetooth Earbuds,Electronics,Bangkok,Marketplace,13,199,2587,1,4.8
2025-09-30,Power Bank,Electronics,Pattaya,Marketplace,17,349,5933,0,3.4
2025-06-14,Keyboard Cover,Accessories,Phuket,Marketplace,4,299,1196,1,4.7
2025-12-08,Power Bank,Electronics,Khon Kaen,Marketplace,33,890,29370,1,4.5
2025-07-11,Power Bank,Electronics,Phuket,Marketplace,32,149,4768,3,4.4
2025-06-28,USB-C Cable,Accessories,Phuket,Marketplace,31,1290,39990,1,3.9
2025-10-18,Keyboard Cover,Accessories,Chiang Mai,In-Store,12,349,4188,0,3.6
2025-02-06,Screen Protector,Accessories,Chiang Mai,Online,8,299,2392,1,4.7
2025-04-27,Bluetooth Earbuds,Electronics,Pattaya,Online,35,599,20965,0,3.1
2025-05-29,Laptop Bag,Bags,Bangkok,Online,47,99,4653,2,4.5
2025-08-30,Wireless Charger,Electronics,Chiang Mai,In-Store,43,199,8557,1,3.8
2025-05-29,iPhone Case,Accessories,Chiang Mai,Online,6,1590,9540,1,4.2
2025-12-24,Wireless Charger,Electronics,Pattaya,Online,45,1590,71550,4,3.7
2025-04-13,Laptop Bag,Bags,Chiang Mai,Marketplace,45,1290,58050,1,4.0
2025-08-07,Keyboard Cover,Accessories,Bangkok,In-Store,40,599,23960,3,3.7
2025-10-01,Keyboard Cover,Accessories,Pattaya,Marketplace,26,890,23140,1,3.2
2025-01-26,Wireless Charger,Electronics,Bangkok,Online,11,199,2189,0,4.3
2025-06-05,Screen Protector,Accessories,Khon Kaen,Online,27,890,24030,1,4.0
2025-02-03,Screen Protector,Accessories,Khon Kaen,Marketplace,24,299,7176,0,4.3
2025-05-25,Laptop Bag,Bags,Pattaya,In-Store,20,890,17800,2,3.2
2025-09-30,Power Bank,Electronics,Pattaya,In-Store,3,1590,4770,0,4.6
2025-03-31,Mouse Pad,Accessories,Khon Kaen,Marketplace,8,890,7120,1,4.8
2025-07-22,Power Bank,Electronics,Bangkok,In-Store,34,1290,43860,3,3.4
2025-02-25,USB-C Cable,Accessories,Chiang Mai,In-Store,12,299,3588,0,3.4
2025-05-14,Wireless Charger,Electronics,Khon Kaen,Marketplace,38,1290,49020,2,3.2
2025-04-05,iPhone Case,Accessories,Chiang Mai,Online,13,299,3887,1,3.3
2025-09-14,Laptop Bag,Bags,Bangkok,Marketplace,39,1290,50310,2,3.1
2025-08-30,Screen Protector,Accessories,Pattaya,In-Store,26,1590,41340,1,4.6
2025-08-31,Mouse Pad,Accessories,Pattaya,Online,6,199,1194,1,4.0
2025-11-29,Wireless Charger,Electronics,Pattaya,Online,13,1290,16770,1,3.4
2025-04-11,Bluetooth Earbuds,Electronics,Khon Kaen,In-Store,10,599,5990,0,3.3
2025-07-07,USB-C Cable,Accessories,Pattaya,In-Store,7,299,2093,0,4.4
2025-05-10,Phone Stand,Accessories,Chiang Mai,Online,8,99,792,1,4.7
2025-06-10,Power Bank,Electronics,Chiang Mai,In-Store,35,349,12215,3,3.1
2025-06-06,Screen Protector,Accessories,Chiang Mai,Marketplace,30,349,10470,1,4.2
2025-05-29,Keyboard Cover,Accessories,Phuket,Marketplace,28,1590,44520,1,4.8
2025-11-29,Power Bank,Electronics,Phuket,In-Store,32,99,3168,3,3.3
2025-05-05,Phone Stand,Accessories,Phuket,Online,41,99,4059,2,3.1
